frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"1","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","119","0","0","0","0","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"2","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","119","0","0","0","0","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"3","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","119","1","0","0","0","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"4","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","119","1","0","0","0","0","0x0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000",
"5","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","65","65","1","0",,,,"64","4309","1","1","25","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","41555448454e544943415445202270617373776f7264220d0a"
"6","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","65","65","1","0",,,,"64","4309","1","1","25","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","41555448454e544943415445202270617373776f7264220d0a"
"7","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","48","48","1","0",,,,"64","119","2","1","8","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","323530204f4b0d0a"
"8","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","48","48","1","0",,,,"64","119","2","1","8","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","323530204f4b0d0a"
"9","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","72","72","1","0",,,,"64","4309","2","2","32","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","474554494e464f207374617475732f626f6f7473747261702d70686173650d0a"
"10","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","72","72","1","0",,,,"64","4309","2","2","32","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","474554494e464f207374617475732f626f6f7473747261702d70686173650d0a"
"11","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","136","136","1","0",,,,"64","119","3","2","96","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","3235302d7374617475732f626f6f7473747261702d70686173653d4e4f5449434520424f4f5453545241502050524f47524553533d30205441473d7374617274696e672053554d4d4152593d225374617274696e67220d0a323530204f4b0d0a"
"12","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","136","136","1","0",,,,"64","119","3","2","96","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","3235302d7374617475732f626f6f7473747261702d70686173653d4e4f5449434520424f4f5453545241502050524f47524553533d30205441473d7374617274696e672053554d4d4152593d225374617274696e67220d0a323530204f4b0d0a"
"13","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","74","74","1","0",,,,"64","4309","3","3","34","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","5345544556454e545320455854454e444544205354415455535f434c49454e540d0a"
"14","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","74","74","1","0",,,,"64","4309","3","3","34","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","5345544556454e545320455854454e444544205354415455535f434c49454e540d0a"
"15","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","48","48","1","0",,,,"64","119","4","3","8","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","323530204f4b0d0a"
"16","Dec 31, 1969 19:00:03.000000000 EST","127.0.0.1","127.0.0.1","6","48","48","1","0",,,,"64","119","4","3","8","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000","0.000000000","0.000000000","323530204f4b0d0a"
"17","Dec 31, 1969 19:00:03.001000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","4","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.001000000","0.001000000","0.001000000","0.001000000",
"18","Dec 31, 1969 19:00:03.001000000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","4","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.001000000","0.000000000","0.001000000","0.000000000",
"19","Dec 31, 1969 19:02:49.399325000 EST","127.0.0.1","127.0.0.1","6","84","84","1","0",,,,"64","119","4","4","44","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.399325000","166.398325000","166.399325000","166.398325000","363530205354415455535f434c49454e54204e4f5449434520434f4e53454e5355535f415252495645440d0a"
"20","Dec 31, 1969 19:02:49.399325000 EST","127.0.0.1","127.0.0.1","6","84","84","1","0",,,,"64","119","4","4","44","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.399325000","0.000000000","166.399325000","0.000000000","363530205354415455535f434c49454e54204e4f5449434520434f4e53454e5355535f415252495645440d0a"
"21","Dec 31, 1969 19:02:49.400325000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","5","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.400325000","0.001000000","166.400325000","0.001000000",
"22","Dec 31, 1969 19:02:49.400325000 EST","127.0.0.1","127.0.0.1","6","40","40","1","0",,,,"64","4309","5","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.400325000","0.000000000","166.400325000","0.000000000",
"23","Dec 31, 1969 19:02:49.541997000 EST","127.0.0.1","127.0.0.1","6","82","82","1","0",,,,"64","119","4","5","42","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.541997000","0.141672000","166.541997000","0.141672000","363530205354415455535f434c49454e54204e4f5449434520454e4f5547485f4449525f494e464f0d0a"
"24","Dec 31, 1969 19:02:49.541997000 EST","127.0.0.1","127.0.0.1","6","82","82","1","0",,,,"64","119","4","5","42","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166.541997000","0.000000000","166.541997000","0.000000000","363530205354415455535f434c49454e54204e4f5449434520454e4f5547485f4449525f494e464f0d0a"
